Type of Soil,Area Ploughed (in acres),Average Rainfall (in mm),Season,Type of Seeds,Type of Transplanting Method,Type of Irrigation Method,Type of Fertilizers Used,Yield Category
Black Soil,24.63,1125.4,Kharif,Breeder Seeds,Machine,Tank Irrigation,Chemical Fertilizers,High
Laterite Soil,19.41,764.2,Kharif,Genetically Modified (GM) Seeds,Manual,Drip Irrigation,Organic Fertilizers,Very High
Alluvial Soil,1.17,750.6,Rabi,Open-Pollinated Seeds,Machine,Canal Irrigation,Organic Fertilizers,High
Saline and Alkaline Soil,2.1,1265.4,Rabi,Genetically Modified (GM) Seeds,Machine,Tubewell Irrigation,Chemical Fertilizers,Medium
Alluvial Soil,11.87,574.0,Kharif,Breeder Seeds,Machine,Well Irrigation,Organic Fertilizers,High
Alluvial Soil,22.78,1296.7,Zaid,Foundation Seeds,Manual,Tubewell Irrigation,Organic Fertilizers,Very High
Alluvial Soil,13.7,639.9,Zaid,Hybrid Seeds,Manual,Drip Irrigation,Bioinputs Fertilizers,Medium
Red and Yellow Soil,12.7,525.9,Rabi,Open-Pollinated Seeds,Manual,Well Irrigation,Bioinputs Fertilizers,Low
Red and Yellow Soil,3.08,708.3,Zaid,Foundation Seeds,Machine,Drip Irrigation,Chemical Fertilizers,Medium
Alluvial Soil,16.59,1155.5,Zaid,Hybrid Seeds,Manual,Drip Irrigation,Chemical Fertilizers,Very High
Saline and Alkaline Soil,20.64,232.7,Rabi,Open-Pollinated Seeds,Manual,Sprinkler Irrigation,Bioinputs Fertilizers,Medium
Laterite Soil,9.82,334.8,Zaid,Open-Pollinated Seeds,Manual,Tank Irrigation,Organic Fertilizers,Medium
Laterite Soil,19.5,1429.6,Rabi,Breeder Seeds,Manual,Sprinkler Irrigation,Chemical Fertilizers,High
Black Soil,24.13,304.5,Kharif,Foundation Seeds,Machine,Tubewell Irrigation,Chemical Fertilizers,Medium
Saline and Alkaline Soil,5.49,873.2,Rabi,Open-Pollinated Seeds,Machine,Tubewell Irrigation,Chemical Fertilizers,Low
Red and Yellow Soil,13.32,890.0,Kharif,Open-Pollinated Seeds,Manual,Tank Irrigation,Organic Fertilizers,Very High
Alluvial Soil,7.53,760.0,Kharif,Hybrid Seeds,Manual,Sprinkler Irrigation,Bioinputs Fertilizers,Medium
Black Soil,19.92,984.9,Zaid,Breeder Seeds,Manual,Tubewell Irrigation,Chemical Fertilizers,Medium
Laterite Soil,14.65,383.2,Zaid,Genetically Modified (GM) Seeds,Machine,Sprinkler Irrigation,Bioinputs Fertilizers,Low
Red and Yellow Soil,16.05,851.4,Zaid,Breeder Seeds,Manual,Tank Irrigation,Bioinputs Fertilizers,Medium
Red and Yellow Soil,20.05,589.7,Rabi,Genetically Modified (GM) Seeds,Machine,Well Irrigation,Organic Fertilizers,Medium
Alluvial Soil,10.2,1009.4,Zaid,Foundation Seeds,Machine,Drip Irrigation,Organic Fertilizers,Very High
Laterite Soil,22.92,254.8,Kharif,Foundation Seeds,Manual,Drip Irrigation,Organic Fertilizers,Very High
Saline and Alkaline Soil,13.56,877.8,Zaid,Open-Pollinated Seeds,Manual,Sprinkler Irrigation,Organic Fertilizers,High
Red and Yellow Soil,4.37,318.6,Zaid,Foundation Seeds,Manual,Tubewell Irrigation,Organic Fertilizers,Low
Alluvial Soil,17.55,454.0,Rabi,Open-Pollinated Seeds,Machine,Sprinkler Irrigation,Organic Fertilizers,Medium
Saline and Alkaline Soil,19.93,367.1,Rabi,Breeder Seeds,Machine,Sprinkler Irrigation,Chemical Fertilizers,Low
Laterite Soil,8.26,315.1,Kharif,Foundation Seeds,Manual,Canal Irrigation,Bioinputs Fertilizers,Low
Red and Yellow Soil,21.5,1247.3,Rabi,Breeder Seeds,Machine,Drip Irrigation,Organic Fertilizers,Very High
Saline and Alkaline Soil,22.7,464.3,Zaid,Breeder Seeds,Manual,Tank Irrigation,Chemical Fertilizers,Low
Saline and Alkaline Soil,7.28,1394.3,Rabi,Foundation Seeds,Manual,Sprinkler Irrigation,Bioinputs Fertilizers,Low
Saline and Alkaline Soil,24.6,1456.4,Kharif,Breeder Seeds,Machine,Canal Irrigation,Organic Fertilizers,Very High
Red and Yellow Soil,3.95,878.3,Zaid,Foundation Seeds,Machine,Canal Irrigation,Organic Fertilizers,High
Red and Yellow Soil,5.45,257.4,Kharif,Foundation Seeds,Machine,Drip Irrigation,Chemical Fertilizers,High
Black Soil,5.01,593.1,Rabi,Foundation Seeds,Machine,Drip Irrigation,Bioinputs Fertilizers,Medium
Laterite Soil,22.4,1206.7,Rabi,Genetically Modified (GM) Seeds,Manual,Drip Irrigation,Organic Fertilizers,Very High
Alluvial Soil,16.53,582.7,Kharif,Breeder Seeds,Manual,Tank Irrigation,Bioinputs Fertilizers,High
Saline and Alkaline Soil,4.23,176.2,Zaid,Hybrid Seeds,Manual,Canal Irrigation,Chemical Fertilizers,Low
Black Soil,11.29,857.3,Rabi,Foundation Seeds,Machine,Tubewell Irrigation,Organic Fertilizers,High
Alluvial Soil,15.57,1275.4,Rabi,Breeder Seeds,Manual,Tank Irrigation,Bioinputs Fertilizers,Very High
Black Soil,2.54,1204.1,Zaid,Open-Pollinated Seeds,Machine,Well Irrigation,Chemical Fertilizers,Medium
Red and Yellow Soil,22.12,303.9,Rabi,Foundation Seeds,Machine,Sprinkler Irrigation,Chemical Fertilizers,Low
Saline and Alkaline Soil,20.19,1025.5,Kharif,Foundation Seeds,Machine,Drip Irrigation,Organic Fertilizers,Very High
Alluvial Soil,12.88,369.7,Rabi,Hybrid Seeds,Manual,Canal Irrigation,Bioinputs Fertilizers,Medium
Alluvial Soil,24.19,366.4,Rabi,Genetically Modified (GM) Seeds,Machine,Sprinkler Irrigation,Organic Fertilizers,High
Alluvial Soil,10.74,1317.4,Zaid,Genetically Modified (GM) Seeds,Machine,Tank Irrigation,Organic Fertilizers,Very High
Alluvial Soil,24.61,412.0,Kharif,Foundation Seeds,Machine,Well Irrigation,Bioinputs Fertilizers,High
Alluvial Soil,16.86,431.7,Zaid,Breeder Seeds,Machine,Tank Irrigation,Bioinputs Fertilizers,High
Black Soil,16.05,50.9,Rabi,Open-Pollinated Seeds,Machine,Tank Irrigation,Bioinputs Fertilizers,Low
Saline and Alkaline Soil,4.57,1312.5,Rabi,Open-Pollinated Seeds,Machine,Tubewell Irrigation,Chemical Fertilizers,Medium
Red and Yellow Soil,22.11,1199.3,Zaid,Breeder Seeds,Machine,Sprinkler Irrigation,Chemical Fertilizers,Medium
Red and Yellow Soil,10.97,959.6,Zaid,Foundation Seeds,Machine,Tubewell Irrigation,Bioinputs Fertilizers,Medium
Red and Yellow Soil,4.47,1137.9,Zaid,Open-Pollinated Seeds,Machine,Tank Irrigation,Chemical Fertilizers,Low
Red and Yellow Soil,0.81,270.5,Kharif,Genetically Modified (GM) Seeds,Machine,Well Irrigation,Organic Fertilizers,High
Black Soil,14.21,714.6,Rabi,Breeder Seeds,Machine,Canal Irrigation,Bioinputs Fertilizers,Low
Laterite Soil,13.42,559.3,Zaid,Hybrid Seeds,Machine,Canal Irrigation,Organic Fertilizers,Low
Saline and Alkaline Soil,18.12,186.0,Rabi,Foundation Seeds,Manual,Sprinkler Irrigation,Bioinputs Fertilizers,Low
Alluvial Soil,22.31,754.9,Kharif,Breeder Seeds,Manual,Drip Irrigation,Organic Fertilizers,Very High
Laterite Soil,2.45,1385.1,Kharif,Open-Pollinated Seeds,Machine,Drip Irrigation,Bioinputs Fertilizers,Very High
Red and Yellow Soil,18.42,108.1,Kharif,Foundation Seeds,Machine,Canal Irrigation,Organic Fertilizers,High
Laterite Soil,5.09,472.6,Kharif,Genetically Modified (GM) Seeds,Machine,Tank Irrigation,Bioinputs Fertilizers,Medium
Saline and Alkaline Soil,21.53,350.9,Rabi,Foundation Seeds,Manual,Tank Irrigation,Bioinputs Fertilizers,Medium
Alluvial Soil,20.57,395.3,Kharif,Foundation Seeds,Manual,Tubewell Irrigation,Chemical Fertilizers,High
Alluvial Soil,13.75,1367.2,Kharif,Genetically Modified (GM) Seeds,Manual,Sprinkler Irrigation,Organic Fertilizers,Very High
Saline and Alkaline Soil,17.9,728.7,Zaid,Genetically Modified (GM) Seeds,Machine,Tubewell Irrigation,Chemical Fertilizers,Low
Saline and Alkaline Soil,8.2,726.1,Kharif,Foundation Seeds,Machine,Drip Irrigation,Organic Fertilizers,High
Red and Yellow Soil,12.04,1152.8,Zaid,Genetically Modified (GM) Seeds,Machine,Canal Irrigation,Chemical Fertilizers,Medium
Alluvial Soil,20.63,274.0,Kharif,Breeder Seeds,Machine,Tank Irrigation,Bioinputs Fertilizers,Medium
Laterite Soil,11.75,756.5,Kharif,Genetically Modified (GM) Seeds,Manual,Canal Irrigation,Chemical Fertilizers,Medium
Black Soil,9.27,673.5,Zaid,Genetically Modified (GM) Seeds,Machine,Well Irrigation,Chemical Fertilizers,Low
Black Soil,12.61,915.5,Kharif,Foundation Seeds,Manual,Canal Irrigation,Bioinputs Fertilizers,High
Saline and Alkaline Soil,20.79,1499.4,Rabi,Breeder Seeds,Manual,Well Irrigation,Chemical Fertilizers,Medium
Red and Yellow Soil,8.71,1165.7,Rabi,Hybrid Seeds,Machine,Tubewell Irrigation,Bioinputs Fertilizers,Medium
Black Soil,4.76,626.9,Kharif,Hybrid Seeds,Manual,Tubewell Irrigation,Organic Fertilizers,Medium
Alluvial Soil,17.94,1250.0,Rabi,Open-Pollinated Seeds,Manual,Drip Irrigation,Chemical Fertilizers,Very High
Saline and Alkaline Soil,20.74,297.5,Zaid,Genetically Modified (GM) Seeds,Manual,Canal Irrigation,Bioinputs Fertilizers,Low
Laterite Soil,2.97,94.2,Kharif,Genetically Modified (GM) Seeds,Manual,Canal Irrigation,Bioinputs Fertilizers,Medium
Saline and Alkaline Soil,6.38,346.5,Kharif,Breeder Seeds,Machine,Well Irrigation,Chemical Fertilizers,Low
Laterite Soil,3.98,543.6,Zaid,Hybrid Seeds,Machine,Tubewell Irrigation,Organic Fertilizers,Low
Saline and Alkaline Soil,9.02,790.3,Zaid,Open-Pollinated Seeds,Manual,Well Irrigation,Chemical Fertilizers,Medium
Saline and Alkaline Soil,11.53,941.9,Zaid,Breeder Seeds,Machine,Tubewell Irrigation,Bioinputs Fertilizers,High
Saline and Alkaline Soil,18.85,1370.4,Kharif,Genetically Modified (GM) Seeds,Manual,Well Irrigation,Organic Fertilizers,Very High
Laterite Soil,16.45,789.3,Zaid,Hybrid Seeds,Machine,Tubewell Irrigation,Chemical Fertilizers,Low
Laterite Soil,15.71,776.8,Zaid,Open-Pollinated Seeds,Machine,Well Irrigation,Bioinputs Fertilizers,Low
Saline and Alkaline Soil,9.13,122.9,Rabi,Foundation Seeds,Machine,Tubewell Irrigation,Chemical Fertilizers,Low
Black Soil,21.12,100.6,Rabi,Hybrid Seeds,Machine,Sprinkler Irrigation,Organic Fertilizers,High
Red and Yellow Soil,12.05,849.2,Kharif,Open-Pollinated Seeds,Machine,Well Irrigation,Organic Fertilizers,Very High
Red and Yellow Soil,24.49,685.4,Rabi,Breeder Seeds,Manual,Canal Irrigation,Organic Fertilizers,Medium
Red and Yellow Soil,16.04,1266.8,Rabi,Foundation Seeds,Machine,Drip Irrigation,Organic Fertilizers,Very High
Laterite Soil,3.59,283.0,Zaid,Open-Pollinated Seeds,Manual,Sprinkler Irrigation,Organic Fertilizers,Medium
Laterite Soil,17.07,86.2,Zaid,Open-Pollinated Seeds,Manual,Sprinkler Irrigation,Chemical Fertilizers,Medium
Black Soil,8.47,701.1,Rabi,Genetically Modified (GM) Seeds,Machine,Well Irrigation,Organic Fertilizers,Medium
Red and Yellow Soil,17.32,394.3,Rabi,Hybrid Seeds,Manual,Drip Irrigation,Organic Fertilizers,High
Red and Yellow Soil,2.21,121.9,Rabi,Genetically Modified (GM) Seeds,Machine,Canal Irrigation,Bioinputs Fertilizers,Low
Saline and Alkaline Soil,4.78,1100.7,Kharif,Foundation Seeds,Manual,Sprinkler Irrigation,Organic Fertilizers,Medium
Laterite Soil,21.47,211.8,Kharif,Open-Pollinated Seeds,Manual,Canal Irrigation,Bioinputs Fertilizers,Medium
Red and Yellow Soil,6.07,932.1,Kharif,Genetically Modified (GM) Seeds,Machine,Tubewell Irrigation,Bioinputs Fertilizers,High
Black Soil,21.01,457.5,Rabi,Hybrid Seeds,Machine,Drip Irrigation,Bioinputs Fertilizers,Medium
Black Soil,7.34,301.6,Rabi,Foundation Seeds,Machine,Tank Irrigation,Chemical Fertilizers,Low
Red and Yellow Soil,16.25,600.6,Kharif,Breeder Seeds,Machine,Tubewell Irrigation,Chemical Fertilizers,Low
Laterite Soil,17.51,1212.1,Kharif,Genetically Modified (GM) Seeds,Manual,Drip Irrigation,Bioinputs Fertilizers,Very High
Black Soil,13.06,618.5,Rabi,Foundation Seeds,Machine,Well Irrigation,Chemical Fertilizers,Low
Saline and Alkaline Soil,7.98,1138.6,Zaid,Breeder Seeds,Manual,Well Irrigation,Organic Fertilizers,High
Black Soil,5.71,232.0,Kharif,Genetically Modified (GM) Seeds,Manual,Canal Irrigation,Chemical Fertilizers,Medium
Alluvial Soil,1.31,1170.5,Rabi,Foundation Seeds,Manual,Sprinkler Irrigation,Organic Fertilizers,Very High
Alluvial Soil,7.95,393.6,Rabi,Foundation Seeds,Manual,Tank Irrigation,Organic Fertilizers,Medium
Laterite Soil,16.5,1032.2,Zaid,Genetically Modified (GM) Seeds,Manual,Well Irrigation,Chemical Fertilizers,Medium
Red and Yellow Soil,23.49,870.4,Rabi,Foundation Seeds,Manual,Drip Irrigation,Chemical Fertilizers,Very High
Laterite Soil,21.84,1397.3,Rabi,Open-Pollinated Seeds,Machine,Sprinkler Irrigation,Bioinputs Fertilizers,High
Laterite Soil,19.27,611.6,Kharif,Genetically Modified (GM) Seeds,Manual,Sprinkler Irrigation,Chemical Fertilizers,Medium
Laterite Soil,19.82,145.9,Kharif,Foundation Seeds,Manual,Drip Irrigation,Chemical Fertilizers,High
Laterite Soil,16.79,77.8,Zaid,Breeder Seeds,Manual,Sprinkler Irrigation,Chemical Fertilizers,Medium
Saline and Alkaline Soil,6.88,1248.9,Zaid,Breeder Seeds,Machine,Well Irrigation,Organic Fertilizers,Very High
Saline and Alkaline Soil,22.73,810.9,Rabi,Open-Pollinated Seeds,Machine,Drip Irrigation,Organic Fertilizers,Very High
Black Soil,16.93,1174.1,Kharif,Genetically Modified (GM) Seeds,Manual,Drip Irrigation,Organic Fertilizers,Very High
Alluvial Soil,14.23,389.9,Zaid,Foundation Seeds,Machine,Canal Irrigation,Bioinputs Fertilizers,Medium
Laterite Soil,3.22,550.4,Zaid,Foundation Seeds,Manual,Tank Irrigation,Bioinputs Fertilizers,Low
Black Soil,11.45,93.7,Zaid,Breeder Seeds,Machine,Canal Irrigation,Bioinputs Fertilizers,Low
Alluvial Soil,11.78,1444.2,Rabi,Open-Pollinated Seeds,Manual,Tank Irrigation,Organic Fertilizers,Very High
Red and Yellow Soil,21.68,1018.4,Kharif,Breeder Seeds,Machine,Drip Irrigation,Chemical Fertilizers,Very High
Saline and Alkaline Soil,13.89,1403.1,Zaid,Breeder Seeds,Machine,Sprinkler Irrigation,Bioinputs Fertilizers,Medium
Alluvial Soil,9.82,435.0,Kharif,Open-Pollinated Seeds,Machine,Tank Irrigation,Bioinputs Fertilizers,Medium
Red and Yellow Soil,24.43,936.6,Zaid,Genetically Modified (GM) Seeds,Manual,Drip Irrigation,Organic Fertilizers,Very High
Alluvial Soil,3.21,1033.8,Zaid,Foundation Seeds,Manual,Drip Irrigation,Bioinputs Fertilizers,Very High
Saline and Alkaline Soil,10.85,510.4,Kharif,Genetically Modified (GM) Seeds,Manual,Canal Irrigation,Chemical Fertilizers,Medium
Saline and Alkaline Soil,1.53,1279.8,Kharif,Hybrid Seeds,Machine,Canal Irrigation,Organic Fertilizers,Very High
Black Soil,18.63,1423.4,Kharif,Hybrid Seeds,Machine,Sprinkler Irrigation,Organic Fertilizers,Very High
Laterite Soil,22.99,1333.0,Rabi,Hybrid Seeds,Manual,Tubewell Irrigation,Chemical Fertilizers,Medium
Alluvial Soil,7.36,1121.6,Zaid,Open-Pollinated Seeds,Machine,Well Irrigation,Chemical Fertilizers,High
Alluvial Soil,21.53,452.3,Rabi,Breeder Seeds,Manual,Tubewell Irrigation,Chemical Fertilizers,Medium
Red and Yellow Soil,7.66,458.3,Kharif,Genetically Modified (GM) Seeds,Manual,Tubewell Irrigation,Bioinputs Fertilizers,Medium
Saline and Alkaline Soil,22.81,1446.9,Zaid,Foundation Seeds,Manual,Sprinkler Irrigation,Chemical Fertilizers,Low
Alluvial Soil,18.97,64.9,Rabi,Hybrid Seeds,Manual,Tank Irrigation,Organic Fertilizers,High
Saline and Alkaline Soil,20.22,1088.3,Zaid,Genetically Modified (GM) Seeds,Machine,Sprinkler Irrigation,Chemical Fertilizers,Medium
Alluvial Soil,0.94,1074.1,Rabi,Hybrid Seeds,Machine,Sprinkler Irrigation,Organic Fertilizers,High
Black Soil,24.09,952.9,Kharif,Hybrid Seeds,Machine,Drip Irrigation,Organic Fertilizers,Very High
Laterite Soil,18.3,1485.7,Rabi,Foundation Seeds,Manual,Drip Irrigation,Bioinputs Fertilizers,Very High
Alluvial Soil,7.97,502.2,Zaid,Open-Pollinated Seeds,Machine,Drip Irrigation,Chemical Fertilizers,High
Saline and Alkaline Soil,20.82,543.0,Zaid,Breeder Seeds,Manual,Well Irrigation,Bioinputs Fertilizers,Low
Black Soil,7.4,164.5,Zaid,Open-Pollinated Seeds,Manual,Tank Irrigation,Chemical Fertilizers,Low
Alluvial Soil,21.88,692.1,Zaid,Genetically Modified (GM) Seeds,Manual,Tank Irrigation,Chemical Fertilizers,Medium
Red and Yellow Soil,3.26,428.5,Kharif,Open-Pollinated Seeds,Manual,Drip Irrigation,Chemical Fertilizers,Very High
Laterite Soil,17.74,547.9,Rabi,Genetically Modified (GM) Seeds,Manual,Tubewell Irrigation,Chemical Fertilizers,Low
Alluvial Soil,13.75,1260.1,Kharif,Genetically Modified (GM) Seeds,Manual,Well Irrigation,Chemical Fertilizers,Very High
Black Soil,2.87,1406.5,Kharif,Breeder Seeds,Machine,Tubewell Irrigation,Organic Fertilizers,Very High
Red and Yellow Soil,6.43,319.3,Kharif,Foundation Seeds,Machine,Canal Irrigation,Organic Fertilizers,Medium
Black Soil,0.8,590.1,Zaid,Breeder Seeds,Machine,Tank Irrigation,Chemical Fertilizers,Low
Black Soil,11.98,1396.5,Zaid,Open-Pollinated Seeds,Machine,Tank Irrigation,Organic Fertilizers,High
Red and Yellow Soil,7.88,139.6,Zaid,Genetically Modified (GM) Seeds,Manual,Tubewell Irrigation,Bioinputs Fertilizers,Low
Black Soil,15.16,183.9,Rabi,Hybrid Seeds,Manual,Well Irrigation,Bioinputs Fertilizers,Low
Red and Yellow Soil,7.78,286.0,Zaid,Hybrid Seeds,Machine,Tank Irrigation,Bioinputs Fertilizers,Low
Alluvial Soil,7.85,913.1,Rabi,Genetically Modified (GM) Seeds,Machine,Tubewell Irrigation,Chemical Fertilizers,High
Red and Yellow Soil,18.71,268.2,Zaid,Breeder Seeds,Machine,Sprinkler Irrigation,Chemical Fertilizers,Medium
Red and Yellow Soil,1.68,1453.7,Zaid,Foundation Seeds,Machine,Sprinkler Irrigation,Organic Fertilizers,High
Laterite Soil,22.62,697.7,Kharif,Breeder Seeds,Machine,Well Irrigation,Organic Fertilizers,High
Red and Yellow Soil,21.38,777.2,Kharif,Genetically Modified (GM) Seeds,Machine,Tubewell Irrigation,Organic Fertilizers,High
Red and Yellow Soil,16.86,407.7,Kharif,Genetically Modified (GM) Seeds,Machine,Sprinkler Irrigation,Bioinputs Fertilizers,Medium
Alluvial Soil,15.03,732.9,Rabi,Foundation Seeds,Machine,Well Irrigation,Bioinputs Fertilizers,High
Laterite Soil,22.36,1009.8,Rabi,Open-Pollinated Seeds,Manual,Drip Irrigation,Bioinputs Fertilizers,High
Saline and Alkaline Soil,5.04,1139.2,Zaid,Open-Pollinated Seeds,Manual,Well Irrigation,Bioinputs Fertilizers,Low
Alluvial Soil,2.43,1143.1,Rabi,Foundation Seeds,Manual,Canal Irrigation,Organic Fertilizers,Very High
Alluvial Soil,6.37,887.9,Zaid,Open-Pollinated Seeds,Manual,Drip Irrigation,Chemical Fertilizers,Very High
Saline and Alkaline Soil,19.97,1361.3,Rabi,Hybrid Seeds,Machine,Tubewell Irrigation,Chemical Fertilizers,Very High
Red and Yellow Soil,1.35,1235.2,Rabi,Open-Pollinated Seeds,Manual,Drip Irrigation,Bioinputs Fertilizers,High
Black Soil,14.78,1147.7,Rabi,Open-Pollinated Seeds,Machine,Drip Irrigation,Chemical Fertilizers,High
Laterite Soil,24.89,130.6,Kharif,Open-Pollinated Seeds,Manual,Tubewell Irrigation,Chemical Fertilizers,Low
Black Soil,21.46,60.0,Rabi,Hybrid Seeds,Machine,Tubewell Irrigation,Chemical Fertilizers,Low
Saline and Alkaline Soil,13.28,358.0,Kharif,Open-Pollinated Seeds,Machine,Sprinkler Irrigation,Bioinputs Fertilizers,Low
Alluvial Soil,2.06,1012.1,Kharif,Hybrid Seeds,Manual,Canal Irrigation,Organic Fertilizers,Very High
Alluvial Soil,20.87,646.2,Rabi,Foundation Seeds,Manual,Tubewell Irrigation,Organic Fertilizers,Very High
Laterite Soil,15.17,633.5,Zaid,Breeder Seeds,Machine,Tank Irrigation,Chemical Fertilizers,Medium
Alluvial Soil,3.32,1332.7,Zaid,Foundation Seeds,Machine,Tank Irrigation,Organic Fertilizers,Very High
Alluvial Soil,2.8,1348.6,Zaid,Breeder Seeds,Machine,Canal Irrigation,Organic Fertilizers,Very High
Laterite Soil,22.79,1368.3,Rabi,Foundation Seeds,Manual,Well Irrigation,Bioinputs Fertilizers,High
Laterite Soil,16.9,505.1,Zaid,Breeder Seeds,Manual,Well Irrigation,Bioinputs Fertilizers,Low
Saline and Alkaline Soil,20.82,1052.0,Kharif,Breeder Seeds,Machine,Tank Irrigation,Chemical Fertilizers,Very High
Alluvial Soil,22.03,443.9,Zaid,Genetically Modified (GM) Seeds,Manual,Tubewell Irrigation,Chemical Fertilizers,Medium
Alluvial Soil,14.51,326.4,Rabi,Breeder Seeds,Machine,Canal Irrigation,Chemical Fertilizers,Low
Saline and Alkaline Soil,13.18,317.7,Zaid,Breeder Seeds,Manual,Well Irrigation,Bioinputs Fertilizers,Low
Red and Yellow Soil,11.05,546.1,Kharif,Genetically Modified (GM) Seeds,Manual,Well Irrigation,Organic Fertilizers,Medium
Red and Yellow Soil,8.27,673.4,Rabi,Open-Pollinated Seeds,Manual,Drip Irrigation,Bioinputs Fertilizers,Medium
Red and Yellow Soil,11.15,1254.9,Zaid,Open-Pollinated Seeds,Manual,Tank Irrigation,Bioinputs Fertilizers,Low
Saline and Alkaline Soil,19.46,223.8,Rabi,Genetically Modified (GM) Seeds,Manual,Tubewell Irrigation,Organic Fertilizers,Medium
Alluvial Soil,15.25,1115.6,Rabi,Hybrid Seeds,Machine,Canal Irrigation,Organic Fertilizers,Very High
Saline and Alkaline Soil,22.37,820.6,Rabi,Breeder Seeds,Machine,Well Irrigation,Chemical Fertilizers,Medium
Saline and Alkaline Soil,11.36,467.5,Zaid,Breeder Seeds,Manual,Drip Irrigation,Organic Fertilizers,High
Red and Yellow Soil,15.37,764.6,Rabi,Genetically Modified (GM) Seeds,Machine,Tank Irrigation,Organic Fertilizers,Medium
Black Soil,15.97,484.9,Zaid,Genetically Modified (GM) Seeds,Machine,Tank Irrigation,Organic Fertilizers,Medium
Alluvial Soil,15.0,914.3,Kharif,Hybrid Seeds,Manual,Canal Irrigation,Organic Fertilizers,Very High
Red and Yellow Soil,17.71,679.1,Zaid,Open-Pollinated Seeds,Machine,Well Irrigation,Chemical Fertilizers,Low
Black Soil,6.32,288.4,Kharif,Foundation Seeds,Manual,Canal Irrigation,Chemical Fertilizers,High
Black Soil,13.05,219.0,Zaid,Open-Pollinated Seeds,Machine,Canal Irrigation,Organic Fertilizers,Medium
Laterite Soil,3.05,842.7,Rabi,Breeder Seeds,Machine,Sprinkler Irrigation,Organic Fertilizers,High
Alluvial Soil,9.92,1358.5,Zaid,Genetically Modified (GM) Seeds,Machine,Drip Irrigation,Chemical Fertilizers,Very High
Black Soil,12.45,548.7,Rabi,Hybrid Seeds,Machine,Tank Irrigation,Chemical Fertilizers,Low
Red and Yellow Soil,16.48,1112.9,Kharif,Open-Pollinated Seeds,Machine,Sprinkler Irrigation,Organic Fertilizers,Very High
Laterite Soil,23.79,1005.1,Zaid,Hybrid Seeds,Machine,Tubewell Irrigation,Bioinputs Fertilizers,High
Alluvial Soil,15.22,1400.8,Rabi,Open-Pollinated Seeds,Machine,Tank Irrigation,Chemical Fertilizers,Medium
Saline and Alkaline Soil,18.72,1240.4,Kharif,Breeder Seeds,Manual,Tank Irrigation,Chemical Fertilizers,High
Red and Yellow Soil,12.9,871.6,Kharif,Foundation Seeds,Manual,Drip Irrigation,Chemical Fertilizers,Very High
Black Soil,16.04,1002.7,Zaid,Hybrid Seeds,Manual,Tubewell Irrigation,Organic Fertilizers,Very High
Black Soil,2.24,1352.7,Kharif,Hybrid Seeds,Manual,Well Irrigation,Organic Fertilizers,High
Red and Yellow Soil,6.73,629.3,Rabi,Foundation Seeds,Machine,Tubewell Irrigation,Chemical Fertilizers,Low
Black Soil,9.37,523.9,Kharif,Hybrid Seeds,Machine,Well Irrigation,Organic Fertilizers,Medium
Laterite Soil,12.08,65.7,Kharif,Hybrid Seeds,Machine,Tubewell Irrigation,Organic Fertilizers,Medium
Alluvial Soil,1.62,1248.5,Rabi,Open-Pollinated Seeds,Manual,Canal Irrigation,Chemical Fertilizers,Very High
Laterite Soil,3.93,1211.4,Kharif,Open-Pollinated Seeds,Manual,Tubewell Irrigation,Organic Fertilizers,Very High
Black Soil,7.28,201.5,Kharif,Foundation Seeds,Manual,Sprinkler Irrigation,Bioinputs Fertilizers,High
Saline and Alkaline Soil,24.3,886.4,Kharif,Breeder Seeds,Machine,Sprinkler Irrigation,Organic Fertilizers,Very High
Alluvial Soil,8.62,722.8,Kharif,Hybrid Seeds,Manual,Drip Irrigation,Organic Fertilizers,Very High
Alluvial Soil,12.31,222.1,Rabi,Breeder Seeds,Machine,Well Irrigation,Chemical Fertilizers,Medium
Red and Yellow Soil,5.3,1471.8,Kharif,Foundation Seeds,Manual,Tank Irrigation,Chemical Fertilizers,High
Red and Yellow Soil,15.46,361.3,Rabi,Foundation Seeds,Machine,Drip Irrigation,Bioinputs Fertilizers,Medium
Saline and Alkaline Soil,7.38,147.5,Kharif,Open-Pollinated Seeds,Manual,Sprinkler Irrigation,Organic Fertilizers,High
Alluvial Soil,5.57,912.5,Kharif,Hybrid Seeds,Machine,Sprinkler Irrigation,Bioinputs Fertilizers,Very High
Saline and Alkaline Soil,13.16,1121.4,Kharif,Genetically Modified (GM) Seeds,Manual,Well Irrigation,Bioinputs Fertilizers,High
Red and Yellow Soil,0.63,97.0,Kharif,Foundation Seeds,Manual,Sprinkler Irrigation,Chemical Fertilizers,Low
Red and Yellow Soil,0.69,1005.1,Rabi,Hybrid Seeds,Machine,Sprinkler Irrigation,Organic Fertilizers,High
Alluvial Soil,5.87,821.8,Rabi,Breeder Seeds,Machine,Well Irrigation,Chemical Fertilizers,High
Laterite Soil,1.4,199.7,Rabi,Open-Pollinated Seeds,Manual,Sprinkler Irrigation,Bioinputs Fertilizers,Low
Black Soil,3.15,300.2,Zaid,Breeder Seeds,Machine,Tank Irrigation,Bioinputs Fertilizers,Low
Red and Yellow Soil,8.8,873.6,Kharif,Foundation Seeds,Manual,Canal Irrigation,Chemical Fertilizers,Very High
