Ownership of Land,Land Owned (in acres),Location,Types of Fertilizers Used,Owning Farming Equipment,Annual Income (in INR),Bank Loan (in INR),Ownership of Livestock,Previous Subsidy Eligibility,Subsidy Eligibility
No,16.41,Rajasthan,Organic,Yes,101584.58,179559.16,No,No,Kisan Credit Card Subsidy
Yes,21.7,Tamil Nadu,Chemical,No,42663.32,69979.09,Yes,Yes,RKVY
Yes,4.43,Manipur,Organic,Yes,499294.8,110263.48,No,Yes,Soil Health Card Scheme
No,11.03,Punjab,Chemical,No,22160.43,71908.63,No,No,PM Krishi Sinchayee Yojana
No,29.91,Manipur,Organic,No,419269.59,25160.47,Yes,Yes,Kisan Credit Card Subsidy
Yes,36.78,Chandigarh,Bioinputs,No,189029.75,117866.33,Yes,Yes,Soil Health Card Scheme
No,49.92,Andhra Pradesh,Organic,Yes,422391.58,105028.17,No,Yes,PM Krishi Sinchayee Yojana
No,46.66,Tripura,Bioinputs,Yes,281764.04,40598.71,Yes,No,PM Krishi Sinchayee Yojana
Yes,32.13,Maharashtra,Bioinputs,Yes,451799.3,90373.81,No,Yes,Kisan Credit Card Subsidy
No,21.06,Chhattisgarh,Organic,Yes,463834.56,159389.5,Yes,Yes,Kisan Credit Card Subsidy
No,31.81,Karnataka,Bioinputs,No,14458.11,118085.22,No,No,Kisan Credit Card Subsidy
Yes,39.28,Meghalaya,Organic,No,46951.97,19383.47,Yes,No,Kisan Credit Card Subsidy
Yes,5.92,Arunachal Pradesh,Organic,Yes,132675.78,109604.3,Yes,No,NFSM
Yes,20.5,Haryana,Bioinputs,No,337964.55,140547.66,Yes,Yes,NFSM
No,41.99,Karnataka,Bioinputs,No,445253.38,158540.68,Yes,Yes,Kisan Credit Card Subsidy
Yes,19.19,Delhi,Chemical,Yes,235371.56,125823.52,Yes,No,NFSM
Yes,28.59,Nagaland,Bioinputs,No,307416.83,30531.63,Yes,Yes,Kisan Credit Card Subsidy
Yes,29.39,Assam,Chemical,No,102364.93,142034.65,Yes,Yes,RKVY
Yes,9.22,Puducherry,Bioinputs,Yes,404433.75,135468.37,Yes,Yes,NFSM
Yes,18.11,Uttar Pradesh,Organic,No,483990.77,4885.38,Yes,Yes,Kisan Credit Card Subsidy
Yes,16.73,Andhra Pradesh,Bioinputs,No,141613.48,82349.53,No,No,NFSM
No,1.31,Karnataka,Organic,No,252464.72,66590.05,Yes,No,Kisan Credit Card Subsidy
No,1.21,Meghalaya,Organic,Yes,52196.89,133882.41,No,Yes,Soil Health Card Scheme
Yes,41.58,Nagaland,Organic,Yes,283976.96,43227.16,Yes,No,PM Krishi Sinchayee Yojana
Yes,13.65,Puducherry,Chemical,No,256363.89,118174.38,No,Yes,Kisan Credit Card Subsidy
Yes,25.9,Meghalaya,Bioinputs,No,80773.88,182641.19,No,Yes,Soil Health Card Scheme
No,14.94,Tamil Nadu,Organic,No,226612.44,159560.47,Yes,No,PM Krishi Sinchayee Yojana
No,47.03,Jharkhand,Organic,Yes,173711.28,184291.55,Yes,No,Kisan Credit Card Subsidy
No,12.96,Nagaland,Chemical,Yes,265697.13,195701.19,No,Yes,Kisan Credit Card Subsidy
No,21.48,Goa,Bioinputs,Yes,296970.62,2134.03,No,Yes,PM Krishi Sinchayee Yojana
No,43.64,Chandigarh,Bioinputs,No,14162.83,124548.26,Yes,Yes,Soil Health Card Scheme
No,42.1,Odisha,Chemical,No,382892.93,82567.88,Yes,Yes,PM Krishi Sinchayee Yojana
No,9.31,Bihar,Chemical,No,359377.0,171970.9,Yes,No,PM Krishi Sinchayee Yojana
No,40.13,Uttarakhand,Bioinputs,No,189480.33,50362.94,No,No,Kisan Credit Card Subsidy
No,22.91,Chandigarh,Chemical,No,35938.61,196205.9,Yes,Yes,Soil Health Card Scheme
Yes,24.15,Madhya Pradesh,Bioinputs,Yes,379916.94,122741.59,Yes,Yes,Soil Health Card Scheme
Yes,6.67,Telangana,Bioinputs,No,478035.83,158707.48,Yes,No,Kisan Credit Card Subsidy
Yes,4.03,Maharashtra,Organic,No,127674.28,17119.91,Yes,Yes,RKVY
Yes,36.4,Assam,Organic,No,168527.06,36691.58,Yes,No,NFSM
No,24.82,Jharkhand,Bioinputs,Yes,100068.32,151680.73,No,Yes,Soil Health Card Scheme
No,21.84,Goa,Bioinputs,No,292698.7,4397.3,No,No,PM Krishi Sinchayee Yojana
Yes,36.48,Andhra Pradesh,Bioinputs,Yes,85872.28,163375.6,Yes,Yes,Soil Health Card Scheme
No,38.28,Tamil Nadu,Bioinputs,Yes,184535.03,2789.8,Yes,Yes,NFSM
Yes,7.95,Telangana,Bioinputs,Yes,351536.38,131423.77,No,Yes,NFSM
No,30.51,Uttarakhand,Bioinputs,Yes,284456.83,73018.78,Yes,No,PM Krishi Sinchayee Yojana
Yes,6.77,Maharashtra,Chemical,Yes,199366.66,122298.97,No,No,NFSM
No,37.57,Haryana,Bioinputs,No,215922.3,139206.28,Yes,Yes,Kisan Credit Card Subsidy
No,32.85,Odisha,Chemical,No,285434.33,68495.04,No,Yes,Kisan Credit Card Subsidy
Yes,47.83,Maharashtra,Chemical,Yes,12873.72,21592.49,No,Yes,NFSM
No,3.45,Jharkhand,Bioinputs,Yes,48469.84,13929.17,Yes,Yes,Soil Health Card Scheme
Yes,2.85,Mizoram,Bioinputs,Yes,441816.45,117787.2,No,No,NFSM
Yes,14.11,Himachal Pradesh,Chemical,No,48160.7,104131.07,Yes,No,Soil Health Card Scheme
Yes,13.09,Delhi,Chemical,No,356333.76,148440.2,No,No,PM Krishi Sinchayee Yojana
Yes,12.35,Goa,Bioinputs,Yes,460818.7,101947.1,Yes,Yes,NFSM
No,45.31,Karnataka,Bioinputs,No,142634.97,84489.16,Yes,Yes,NFSM
No,12.48,Tripura,Chemical,No,191540.8,79617.44,Yes,No,Soil Health Card Scheme
No,13.6,Gujarat,Chemical,Yes,288771.49,5289.38,No,Yes,PM Krishi Sinchayee Yojana
Yes,37.97,Mizoram,Chemical,Yes,442037.4,67111.44,Yes,No,PM Krishi Sinchayee Yojana
No,22.49,West Bengal,Organic,No,471533.74,195204.03,Yes,No,Kisan Credit Card Subsidy
Yes,38.84,West Bengal,Chemical,No,372385.99,174711.12,Yes,No,Kisan Credit Card Subsidy
No,3.27,Andhra Pradesh,Organic,No,52443.68,65875.61,No,No,Soil Health Card Scheme
No,24.38,Sikkim,Bioinputs,Yes,337885.54,117559.08,Yes,Yes,Kisan Credit Card Subsidy
No,1.68,Chhattisgarh,Bioinputs,Yes,211048.82,169459.35,No,No,PM Krishi Sinchayee Yojana
Yes,3.13,Himachal Pradesh,Chemical,Yes,240643.49,88254.87,No,Yes,Soil Health Card Scheme
No,45.32,Nagaland,Bioinputs,No,34082.71,3591.57,No,No,Kisan Credit Card Subsidy
No,6.96,Telangana,Bioinputs,No,103620.45,14902.09,Yes,No,NFSM
Yes,26.62,Uttarakhand,Bioinputs,Yes,397351.67,102078.54,Yes,No,Kisan Credit Card Subsidy
No,20.55,Rajasthan,Bioinputs,No,232439.83,193887.88,No,No,PM Krishi Sinchayee Yojana
Yes,17.37,Arunachal Pradesh,Organic,Yes,157814.5,138641.91,Yes,Yes,RKVY
No,44.99,Delhi,Organic,No,198169.35,14183.24,Yes,Yes,NFSM
Yes,1.09,Uttar Pradesh,Chemical,Yes,428655.76,37872.18,No,Yes,Soil Health Card Scheme
Yes,33.19,Karnataka,Chemical,No,377009.52,154264.63,No,Yes,Kisan Credit Card Subsidy
No,48.17,Uttarakhand,Chemical,No,143434.54,168287.95,Yes,No,Kisan Credit Card Subsidy
Yes,28.01,West Bengal,Bioinputs,Yes,67575.9,123538.92,No,Yes,Soil Health Card Scheme
Yes,46.84,Goa,Bioinputs,Yes,133479.13,128884.63,Yes,Yes,Soil Health Card Scheme
Yes,2.61,Uttar Pradesh,Organic,Yes,461170.66,5667.49,No,No,Kisan Credit Card Subsidy
Yes,20.94,Haryana,Organic,Yes,294978.53,165706.05,Yes,Yes,Soil Health Card Scheme
Yes,13.01,Bihar,Chemical,Yes,271405.3,157655.04,Yes,Yes,Kisan Credit Card Subsidy
Yes,36.54,Nagaland,Organic,No,302232.86,51807.03,No,Yes,NFSM
No,49.06,West Bengal,Organic,Yes,189353.85,141735.34,Yes,Yes,Soil Health Card Scheme
Yes,12.83,Karnataka,Organic,Yes,405482.44,42970.92,Yes,No,Kisan Credit Card Subsidy
Yes,32.71,Chhattisgarh,Organic,Yes,266410.26,8066.03,No,No,PM Krishi Sinchayee Yojana
No,9.9,Manipur,Organic,Yes,67206.47,40227.31,Yes,Yes,Kisan Credit Card Subsidy
No,28.27,West Bengal,Chemical,Yes,73241.91,35725.78,Yes,No,Kisan Credit Card Subsidy
No,23.2,Nagaland,Chemical,No,273060.98,67549.6,Yes,Yes,Kisan Credit Card Subsidy
No,48.6,Arunachal Pradesh,Organic,Yes,468919.41,83689.9,No,Yes,Kisan Credit Card Subsidy
No,30.43,Chandigarh,Chemical,Yes,161092.54,101707.78,No,Yes,NFSM
No,17.48,Sikkim,Bioinputs,Yes,436075.17,95350.78,No,No,PM Krishi Sinchayee Yojana
No,5.7,Karnataka,Organic,No,384406.84,54134.92,No,No,PM Krishi Sinchayee Yojana
Yes,7.56,Uttar Pradesh,Bioinputs,No,131428.1,5834.13,No,No,NFSM
Yes,11.27,Tripura,Chemical,Yes,27806.97,121020.32,Yes,No,NFSM
No,12.55,Madhya Pradesh,Chemical,Yes,59905.16,79148.97,Yes,No,Kisan Credit Card Subsidy
Yes,42.53,Bihar,Bioinputs,No,366962.03,59734.43,Yes,No,Kisan Credit Card Subsidy
Yes,28.06,Sikkim,Chemical,No,107838.17,173388.21,No,Yes,NFSM
Yes,26.17,Gujarat,Organic,No,191922.75,149348.66,Yes,No,NFSM
No,5.74,Delhi,Bioinputs,Yes,255832.59,171553.11,No,Yes,PM Krishi Sinchayee Yojana
No,43.01,Karnataka,Organic,Yes,365479.4,98996.56,Yes,Yes,Kisan Credit Card Subsidy
Yes,36.14,Sikkim,Bioinputs,No,65483.3,26186.25,No,No,NFSM
No,3.38,Telangana,Chemical,Yes,209119.54,139244.29,Yes,Yes,NFSM
Yes,35.39,Bihar,Bioinputs,No,247685.73,41214.76,Yes,Yes,NFSM
Yes,27.18,West Bengal,Bioinputs,No,275005.26,88245.93,No,Yes,Kisan Credit Card Subsidy
Yes,4.09,Manipur,Organic,No,410996.71,13000.16,Yes,No,NFSM
Yes,22.92,Andhra Pradesh,Chemical,Yes,94122.32,165061.68,Yes,No,Soil Health Card Scheme
No,24.23,Tamil Nadu,Organic,No,405837.41,25188.13,No,Yes,Kisan Credit Card Subsidy
No,8.29,Assam,Chemical,No,349510.43,180619.5,Yes,No,PM Krishi Sinchayee Yojana
No,47.28,Maharashtra,Organic,Yes,282376.7,172846.12,Yes,Yes,Kisan Credit Card Subsidy
Yes,42.5,Goa,Bioinputs,No,352768.66,92916.55,No,No,Kisan Credit Card Subsidy
No,33.45,Nagaland,Organic,Yes,211888.69,148873.64,No,Yes,PM Krishi Sinchayee Yojana
Yes,23.11,Tripura,Chemical,No,77814.82,123889.01,No,Yes,RKVY
No,20.59,Andhra Pradesh,Chemical,Yes,336224.97,160615.13,No,No,PM Krishi Sinchayee Yojana
Yes,32.55,Goa,Bioinputs,No,267089.43,86361.02,No,No,PM Krishi Sinchayee Yojana
Yes,27.27,Goa,Chemical,No,323293.65,157161.7,Yes,No,Kisan Credit Card Subsidy
Yes,3.11,Rajasthan,Organic,No,175619.4,92491.36,No,No,Soil Health Card Scheme
No,25.63,Meghalaya,Bioinputs,No,454364.62,188193.16,No,No,PM Krishi Sinchayee Yojana
No,40.32,Delhi,Chemical,No,297811.24,97274.42,Yes,Yes,Kisan Credit Card Subsidy
No,22.96,Chhattisgarh,Chemical,Yes,51847.22,92523.85,Yes,Yes,Soil Health Card Scheme
No,2.6,Mizoram,Organic,Yes,230403.96,157014.37,Yes,Yes,NFSM
Yes,39.31,Jharkhand,Organic,No,380614.47,164315.54,Yes,No,Kisan Credit Card Subsidy
No,10.07,West Bengal,Bioinputs,No,399125.94,110897.82,Yes,No,PM Krishi Sinchayee Yojana
No,12.93,Rajasthan,Chemical,No,252352.56,35959.56,No,Yes,PM Krishi Sinchayee Yojana
Yes,8.24,Nagaland,Organic,Yes,448426.31,93551.65,Yes,Yes,Kisan Credit Card Subsidy
Yes,16.51,Gujarat,Bioinputs,Yes,141157.53,193614.5,No,Yes,RKVY
Yes,37.84,Assam,Chemical,No,211193.36,150597.24,Yes,Yes,NFSM
No,25.97,Madhya Pradesh,Chemical,Yes,450312.49,162232.52,No,No,PM Krishi Sinchayee Yojana
Yes,10.24,Manipur,Bioinputs,No,449165.79,6565.1,Yes,Yes,NFSM
Yes,43.89,Punjab,Bioinputs,No,345999.26,93571.89,No,No,Kisan Credit Card Subsidy
Yes,43.98,Odisha,Organic,No,430900.47,129324.23,No,Yes,Kisan Credit Card Subsidy
No,43.53,Assam,Chemical,Yes,53498.9,166006.54,No,No,PM Krishi Sinchayee Yojana
Yes,11.94,Bihar,Chemical,No,433847.54,9854.73,No,No,PM Krishi Sinchayee Yojana
No,22.56,Chhattisgarh,Chemical,No,167103.75,170487.78,No,No,Kisan Credit Card Subsidy
No,49.25,Andhra Pradesh,Bioinputs,No,97382.44,109680.19,No,No,Kisan Credit Card Subsidy
Yes,38.6,Bihar,Organic,Yes,127291.22,39462.79,No,Yes,Soil Health Card Scheme
Yes,1.36,Kerala,Chemical,Yes,214804.57,63451.04,No,Yes,NFSM
No,3.26,West Bengal,Bioinputs,Yes,133084.08,56385.91,No,Yes,Soil Health Card Scheme
Yes,23.2,Uttarakhand,Chemical,No,167078.12,106171.81,No,No,NFSM
Yes,45.46,Telangana,Organic,Yes,76139.46,10337.14,Yes,Yes,Soil Health Card Scheme
No,26.94,Jharkhand,Chemical,No,155126.62,31707.23,No,Yes,Kisan Credit Card Subsidy
No,24.89,Tamil Nadu,Organic,Yes,290419.07,162538.61,No,Yes,Kisan Credit Card Subsidy
Yes,5.27,Tripura,Organic,No,226508.32,26520.8,Yes,No,NFSM
No,32.84,Rajasthan,Chemical,Yes,179892.19,46679.25,No,No,PM Krishi Sinchayee Yojana
Yes,41.11,Delhi,Chemical,No,375761.54,90674.12,No,No,PM Krishi Sinchayee Yojana
Yes,19.02,Chandigarh,Organic,Yes,447819.89,103424.18,Yes,Yes,NFSM
Yes,38.78,Uttar Pradesh,Bioinputs,Yes,380826.72,152722.1,Yes,Yes,Soil Health Card Scheme
No,48.22,Punjab,Organic,Yes,172680.34,89466.49,No,Yes,NFSM
Yes,10.19,Telangana,Chemical,No,374776.66,157972.92,Yes,No,Kisan Credit Card Subsidy
Yes,26.17,Tripura,Chemical,Yes,84470.29,123669.26,No,Yes,Soil Health Card Scheme
Yes,14.36,Madhya Pradesh,Bioinputs,Yes,73855.81,22619.95,No,No,NFSM
No,39.64,Tamil Nadu,Organic,Yes,179357.25,31266.29,No,No,PM Krishi Sinchayee Yojana
No,28.88,Maharashtra,Organic,Yes,405774.16,87406.75,Yes,No,PM Krishi Sinchayee Yojana
No,31.73,Tamil Nadu,Organic,No,130710.64,79377.88,No,No,Kisan Credit Card Subsidy
No,39.9,Chhattisgarh,Chemical,Yes,40994.17,148708.85,No,Yes,NFSM
No,19.8,Bihar,Organic,No,74537.67,116147.43,Yes,Yes,Soil Health Card Scheme
Yes,45.75,Maharashtra,Bioinputs,No,430785.03,77626.62,No,No,Kisan Credit Card Subsidy
No,26.65,Jharkhand,Chemical,No,320553.81,34152.06,No,Yes,PM Krishi Sinchayee Yojana
No,7.9,Mizoram,Chemical,No,134068.57,45367.42,No,No,PM Krishi Sinchayee Yojana
No,34.79,Jharkhand,Organic,Yes,282094.95,115100.2,No,Yes,PM Krishi Sinchayee Yojana
Yes,39.66,Uttar Pradesh,Bioinputs,No,268514.01,84687.76,No,Yes,Kisan Credit Card Subsidy
No,15.84,Gujarat,Chemical,No,331163.63,102985.5,No,No,PM Krishi Sinchayee Yojana
No,42.86,Meghalaya,Chemical,No,124261.9,34135.49,Yes,No,Kisan Credit Card Subsidy
Yes,45.31,Andhra Pradesh,Organic,No,433557.46,132581.25,No,No,PM Krishi Sinchayee Yojana
No,13.85,Mizoram,Organic,Yes,161590.6,170507.75,No,No,PM Krishi Sinchayee Yojana
Yes,49.18,Rajasthan,Bioinputs,Yes,350124.51,51587.9,Yes,Yes,NFSM
Yes,7.04,Delhi,Organic,No,17901.08,98302.85,No,No,NFSM
Yes,10.1,Himachal Pradesh,Bioinputs,No,192601.99,195105.47,No,Yes,RKVY
Yes,9.21,Goa,Chemical,No,182337.81,66648.35,Yes,No,NFSM
Yes,44.7,Odisha,Bioinputs,Yes,276307.37,119009.27,Yes,Yes,NFSM
No,32.71,Madhya Pradesh,Bioinputs,Yes,45640.77,18039.14,Yes,No,Kisan Credit Card Subsidy
Yes,7.61,Assam,Bioinputs,Yes,397164.37,121203.0,Yes,Yes,Kisan Credit Card Subsidy
Yes,22.02,Gujarat,Chemical,Yes,116712.59,17926.35,Yes,Yes,Soil Health Card Scheme
No,30.76,Sikkim,Organic,Yes,341748.53,191847.09,Yes,Yes,NFSM
Yes,4.17,Himachal Pradesh,Chemical,No,403573.94,143132.53,Yes,No,NFSM
No,44.12,Sikkim,Organic,Yes,285319.71,157631.96,No,No,PM Krishi Sinchayee Yojana
No,40.18,Chhattisgarh,Bioinputs,Yes,373032.77,140820.87,No,No,PM Krishi Sinchayee Yojana
No,25.26,Jharkhand,Bioinputs,No,334311.55,117945.81,No,No,PM Krishi Sinchayee Yojana
Yes,48.36,Tamil Nadu,Bioinputs,Yes,184209.6,89982.56,Yes,Yes,RKVY
Yes,20.89,Mizoram,Bioinputs,Yes,406340.68,171674.68,No,Yes,NFSM
Yes,49.21,Kerala,Bioinputs,Yes,154403.67,191367.13,Yes,Yes,Soil Health Card Scheme
No,33.4,Tamil Nadu,Organic,No,289894.33,99807.23,No,No,PM Krishi Sinchayee Yojana
Yes,31.73,Meghalaya,Organic,Yes,375244.89,186307.01,No,Yes,Kisan Credit Card Subsidy
Yes,8.3,Assam,Bioinputs,No,195688.4,116666.58,No,Yes,Soil Health Card Scheme
Yes,44.1,Puducherry,Chemical,No,158356.13,107676.84,No,No,NFSM
No,21.37,Tripura,Chemical,Yes,235079.54,90896.55,Yes,No,Kisan Credit Card Subsidy
No,8.11,Chandigarh,Bioinputs,Yes,410802.11,41857.55,Yes,Yes,PM Krishi Sinchayee Yojana
Yes,0.63,Sikkim,Organic,Yes,465661.66,743.93,No,No,Kisan Credit Card Subsidy
Yes,27.99,Himachal Pradesh,Chemical,Yes,277090.87,48301.25,Yes,No,Kisan Credit Card Subsidy
Yes,26.37,Delhi,Chemical,No,334118.44,101944.63,Yes,No,Kisan Credit Card Subsidy
Yes,35.97,Manipur,Chemical,Yes,452604.07,75991.99,No,No,PM Krishi Sinchayee Yojana
No,44.51,Chhattisgarh,Bioinputs,No,58287.96,89697.05,Yes,Yes,NFSM
No,3.97,Tamil Nadu,Chemical,No,123718.5,196129.64,Yes,Yes,RKVY
No,36.57,Madhya Pradesh,Chemical,No,357361.0,70054.47,Yes,Yes,NFSM
No,9.37,Maharashtra,Chemical,No,413634.79,90436.59,Yes,Yes,Kisan Credit Card Subsidy
Yes,42.91,Punjab,Chemical,No,429944.22,26703.11,No,Yes,NFSM
Yes,40.95,Manipur,Organic,Yes,213402.52,9591.55,No,No,Kisan Credit Card Subsidy
Yes,27.04,Meghalaya,Bioinputs,No,53776.55,155081.9,Yes,Yes,Soil Health Card Scheme
No,35.51,Tamil Nadu,Bioinputs,No,224512.92,114136.64,No,Yes,PM Krishi Sinchayee Yojana
Yes,15.72,Madhya Pradesh,Organic,Yes,123059.95,152140.96,No,No,NFSM
No,23.56,Mizoram,Organic,Yes,152686.26,29972.56,No,No,Kisan Credit Card Subsidy
No,41.08,Tamil Nadu,Bioinputs,No,388411.1,114365.75,Yes,No,PM Krishi Sinchayee Yojana
Yes,22.96,Haryana,Chemical,No,47008.27,50728.49,Yes,Yes,Soil Health Card Scheme
Yes,17.89,Rajasthan,Chemical,Yes,415514.8,45612.36,No,No,PM Krishi Sinchayee Yojana
Yes,24.71,Arunachal Pradesh,Bioinputs,No,219557.85,2305.2,No,No,PM Krishi Sinchayee Yojana
No,41.41,Chhattisgarh,Chemical,Yes,302071.33,26068.14,Yes,No,PM Krishi Sinchayee Yojana
Yes,16.76,Goa,Organic,Yes,53929.59,61853.62,No,Yes,Soil Health Card Scheme
No,8.69,Kerala,Chemical,No,175305.95,23375.75,Yes,No,Kisan Credit Card Subsidy
Yes,35.6,Nagaland,Chemical,Yes,53953.45,197171.69,No,No,Kisan Credit Card Subsidy
No,41.3,Puducherry,Chemical,No,481156.42,61726.53,Yes,Yes,NFSM
No,5.03,Sikkim,Bioinputs,No,405558.21,26064.79,Yes,No,PM Krishi Sinchayee Yojana
Yes,11.99,Sikkim,Organic,No,235220.05,39816.46,Yes,Yes,Kisan Credit Card Subsidy
No,7.1,Andhra Pradesh,Chemical,Yes,119565.25,117540.65,Yes,Yes,Soil Health Card Scheme
No,17.4,Puducherry,Bioinputs,No,467393.0,12808.7,No,No,PM Krishi Sinchayee Yojana
Yes,22.52,Mizoram,Chemical,Yes,178852.33,172486.83,Yes,Yes,Soil Health Card Scheme
No,37.44,Puducherry,Organic,No,88882.37,192299.94,No,No,PM Krishi Sinchayee Yojana
Yes,32.56,Karnataka,Chemical,No,285950.55,49349.48,Yes,No,PM Krishi Sinchayee Yojana
No,31.05,Jharkhand,Organic,Yes,472449.32,90019.05,Yes,No,PM Krishi Sinchayee Yojana
Yes,17.62,Odisha,Chemical,No,11876.84,4426.89,No,No,Kisan Credit Card Subsidy
Yes,42.07,Maharashtra,Organic,No,126681.17,128142.04,No,Yes,Soil Health Card Scheme
No,23.56,Uttar Pradesh,Chemical,Yes,469839.34,82785.21,No,No,PM Krishi Sinchayee Yojana
No,48.96,Jharkhand,Organic,Yes,93832.12,54011.69,Yes,No,Kisan Credit Card Subsidy
No,31.71,Manipur,Chemical,Yes,65489.29,41367.42,Yes,No,PM Krishi Sinchayee Yojana
No,6.31,West Bengal,Chemical,No,289391.74,130804.62,No,Yes,PM Krishi Sinchayee Yojana
No,33.81,Odisha,Bioinputs,Yes,432303.47,83243.41,Yes,Yes,Kisan Credit Card Subsidy
Yes,16.26,Bihar,Bioinputs,Yes,243783.81,35931.86,No,No,PM Krishi Sinchayee Yojana
No,34.32,Arunachal Pradesh,Organic,No,497336.49,137821.82,Yes,Yes,Kisan Credit Card Subsidy
Yes,3.48,Himachal Pradesh,Chemical,Yes,342794.13,113014.46,Yes,Yes,NFSM
Yes,8.74,Jharkhand,Organic,No,46296.7,171734.41,Yes,No,NFSM
No,42.79,West Bengal,Bioinputs,No,496487.74,23495.18,No,No,PM Krishi Sinchayee Yojana
Yes,11.36,Karnataka,Organic,Yes,209868.18,157133.32,Yes,No,Kisan Credit Card Subsidy
Yes,41.85,Maharashtra,Organic,No,150827.24,134703.36,No,No,NFSM
Yes,13.96,Gujarat,Bioinputs,Yes,283360.8,23002.19,No,No,PM Krishi Sinchayee Yojana
Yes,32.14,Tamil Nadu,Chemical,Yes,159110.72,138964.15,Yes,Yes,Soil Health Card Scheme
No,34.71,Manipur,Organic,Yes,52364.18,88309.46,No,No,Kisan Credit Card Subsidy
Yes,25.63,Sikkim,Bioinputs,Yes,10699.89,188996.96,No,No,NFSM
No,15.27,Chandigarh,Chemical,No,230295.84,28322.27,Yes,No,PM Krishi Sinchayee Yojana
No,10.63,Odisha,Bioinputs,No,420063.08,128566.68,No,No,PM Krishi Sinchayee Yojana
Yes,1.66,Sikkim,Organic,Yes,290434.44,76396.01,No,No,NFSM
No,15.2,Manipur,Chemical,Yes,499611.58,191362.93,Yes,Yes,Kisan Credit Card Subsidy
No,32.66,Puducherry,Chemical,No,150554.86,65994.98,Yes,No,Kisan Credit Card Subsidy
No,46.92,West Bengal,Bioinputs,Yes,147422.98,192437.18,Yes,Yes,Soil Health Card Scheme
Yes,43.56,Telangana,Bioinputs,No,88277.24,180297.17,No,No,Soil Health Card Scheme
No,38.3,Haryana,Bioinputs,Yes,90391.16,54076.65,No,No,NFSM
No,39.42,Karnataka,Chemical,No,149741.43,160708.36,Yes,No,NFSM
No,33.25,Delhi,Chemical,No,398491.62,199120.84,No,Yes,PM Krishi Sinchayee Yojana
Yes,13.01,Himachal Pradesh,Organic,No,453820.83,50532.6,Yes,No,Kisan Credit Card Subsidy
No,45.36,Manipur,Chemical,Yes,487792.71,87355.43,Yes,No,PM Krishi Sinchayee Yojana
Yes,33.54,Andhra Pradesh,Organic,Yes,123821.93,104036.15,Yes,No,NFSM
Yes,28.02,Puducherry,Bioinputs,Yes,441835.8,58986.23,No,No,PM Krishi Sinchayee Yojana
Yes,5.55,Andhra Pradesh,Bioinputs,Yes,170844.99,3052.97,No,No,NFSM
Yes,22.35,Odisha,Chemical,Yes,65291.87,44025.85,Yes,No,Kisan Credit Card Subsidy
Yes,23.02,Assam,Bioinputs,No,436312.21,56387.38,Yes,No,PM Krishi Sinchayee Yojana
Yes,43.23,Jharkhand,Bioinputs,No,321691.76,88719.94,No,Yes,NFSM
No,27.33,Haryana,Chemical,No,90718.14,34220.5,Yes,No,NFSM
Yes,19.02,Manipur,Organic,No,220617.32,174650.87,No,No,PM Krishi Sinchayee Yojana
No,48.84,Jharkhand,Chemical,No,150756.27,140982.23,Yes,No,NFSM
No,5.54,Andhra Pradesh,Organic,No,371029.34,17040.1,Yes,Yes,Kisan Credit Card Subsidy
Yes,21.13,Delhi,Chemical,No,232173.95,130018.49,No,Yes,Kisan Credit Card Subsidy
No,2.1,Nagaland,Chemical,Yes,494747.17,130731.3,No,No,PM Krishi Sinchayee Yojana
No,37.0,Arunachal Pradesh,Bioinputs,No,36825.04,191244.23,No,Yes,Kisan Credit Card Subsidy
No,45.9,Odisha,Chemical,Yes,183957.48,604.17,No,No,PM Krishi Sinchayee Yojana
No,14.0,Madhya Pradesh,Chemical,No,246131.08,49586.49,No,No,PM Krishi Sinchayee Yojana
Yes,42.92,Sikkim,Organic,No,256535.44,185558.3,Yes,Yes,NFSM
No,14.61,Andhra Pradesh,Bioinputs,Yes,164808.55,186426.78,Yes,No,Kisan Credit Card Subsidy
Yes,45.54,Arunachal Pradesh,Organic,No,367327.72,144117.28,No,Yes,Kisan Credit Card Subsidy
No,37.7,Delhi,Organic,Yes,438626.07,153152.66,No,Yes,PM Krishi Sinchayee Yojana
No,40.25,Meghalaya,Bioinputs,No,469972.46,18296.59,Yes,Yes,PM Krishi Sinchayee Yojana
Yes,0.9,Manipur,Bioinputs,Yes,404495.75,102775.17,Yes,No,NFSM
No,48.14,Madhya Pradesh,Bioinputs,No,426784.3,46316.6,No,No,PM Krishi Sinchayee Yojana
No,36.33,Meghalaya,Chemical,Yes,279767.2,36243.61,No,No,PM Krishi Sinchayee Yojana
No,15.24,Mizoram,Bioinputs,Yes,414685.23,162060.66,Yes,No,PM Krishi Sinchayee Yojana
Yes,41.47,Rajasthan,Bioinputs,No,158716.92,27007.63,No,No,Kisan Credit Card Subsidy
No,14.08,Delhi,Bioinputs,No,205254.59,93730.33,Yes,No,PM Krishi Sinchayee Yojana
Yes,43.64,Delhi,Organic,Yes,165287.38,187715.65,Yes,No,NFSM
No,5.63,Gujarat,Organic,No,239019.79,37166.41,No,Yes,PM Krishi Sinchayee Yojana
Yes,35.18,Telangana,Chemical,Yes,149934.01,195598.68,Yes,No,Soil Health Card Scheme
Yes,27.03,Uttar Pradesh,Organic,No,481189.61,198857.6,Yes,No,Kisan Credit Card Subsidy
No,4.83,Mizoram,Chemical,Yes,163293.87,111123.43,Yes,No,NFSM
